epoch,lr,train_loss,validation_loss,top1_error,top5_error,epoch_seconds,peak_allocated_bytes,peak_reserved_bytes
1,0.25,4.273099563293457,3.8404350341796873,90.26,68.4,332.43186089990195,5290669056,5706350592
2,0.25,3.819929293060303,3.436654319763184,81.97,53.15,154.5712618000107,5285228032,5723127808
3,0.25,3.3420238418579102,2.723472071838379,70.08,36.91,154.84226289996877,5284541440,5723127808
4,0.25,2.869835470275879,2.39274243850708,61.62,29.41,154.5780433000764,5284541440,5723127808
5,0.25,2.613392164840698,1.9918383758544922,53.91,22.14,154.42001470003743,5284541440,5723127808
6,0.25,2.3654651164245606,1.767520597076416,47.66,18.35,154.40053670003545,5284541440,5723127808
7,0.25,2.2871955307006835,1.8470467300415039,49.67,19.69,154.4105636999011,5284541440,5723127808
8,0.25,2.2306532008361817,1.6289683441162108,45.23,15.78,154.53872630000114,5284541440,5723127808
9,0.25,2.090066327896118,1.5715195594787599,44.05,13.94,154.4376444000518,5284541440,5723127808
10,0.25,2.0788481620788573,1.6359523778915406,44.08,15.59,154.67482700000983,5284541440,5723127808
11,0.25,2.0774013628387453,1.6332889984130858,44.1,16.32,154.38607750006486,5284541440,5723127808
12,0.25,1.9916582752227783,1.4946894662857055,41.99,13.62,154.589307700051,5284541440,5723127808
13,0.25,2.0025552785491945,1.5463323532104492,42.11,14.25,154.52023639995605,5284541440,5723127808
14,0.25,1.9389521572875976,1.6191733444213867,43.63,15.13,158.9592034999514,5284541440,5723127808
15,0.25,1.8772485738372802,1.4349884202957153,39.72,12.54,157.7957351000514,5284541440,5723127808
16,0.25,1.8823043846130372,1.435514942932129,40.45,11.95,154.6975734999869,5284541440,5723127808
17,0.25,1.798176834335327,1.6461341903686524,43.73,15.39,154.38348540000152,5284541440,5723127808
18,0.25,1.810672227935791,1.3955859031677247,37.53,11.98,154.41090389993042,5284541440,5723127808
19,0.25,1.8257459942626952,1.5012244689941405,40.36,13.35,154.4641249999404,5284541440,5723127808
20,0.25,1.8360207122039796,1.4099552696228028,38.62,12.35,154.37425290001556,5284541440,5723127808
21,0.25,1.7785169588851928,1.3401165786743163,37.02,11.44,154.3672111000633,5284541440,5723127808
22,0.25,1.7590237980270387,1.4711863746643066,39.66,12.81,154.39106829999946,5284541440,5723127808
23,0.25,1.838692559967041,1.3616364582061768,37.26,12.28,155.76379690004978,5284541440,5723127808
24,0.25,1.7931787269592285,1.4306004997253419,38.63,12.58,154.7309844000265,5284541440,5723127808
25,0.25,1.750196734085083,1.428009316444397,38.93,12.13,165.8761146001052,5284541440,5723127808
26,0.25,1.7948156178283692,1.3177696603775024,36.81,10.53,164.61051429994404,5284541440,5723127808
27,0.25,1.7397261762237548,1.387695660018921,37.95,11.61,167.1715948000783,5284541440,5723127808
28,0.25,1.72865122215271,1.5106875728607179,39.17,12.7,170.21382119995542,5284541440,5723127808
29,0.25,1.766973027610779,1.3000185249328613,35.89,10.61,163.99383449996822,5284541440,5723127808
30,0.25,1.738525704727173,1.543933327293396,40.8,14.26,163.89134869992267,5284541440,5723127808
31,0.25,1.7119095055389404,1.3219992496490478,37.02,11.33,163.87748340005055,5284541440,5723127808
32,0.25,1.680296418876648,1.5468899620056151,42.21,13.49,163.81917959998827,5284541440,5723127808
33,0.25,1.7179947050476074,1.3422775424957276,37.08,11.26,163.79427589999977,5284541440,5723127808
34,0.25,1.7149020040130616,1.4011355144500732,38.05,11.99,163.8263430999359,5284541440,5723127808
35,0.25,1.7236246468353271,1.3649785331726074,37.48,11.59,163.92559260001872,5284541440,5723127808
36,0.25,1.7094989834594727,1.204721885871887,34.01,9.69,166.54152999992948,5284541440,5723127808
37,0.25,1.698073408317566,1.1707462253570557,33.12,8.84,167.48602460010443,5284541440,5723127808
38,0.25,1.6462028723907471,1.2776088329315185,35.81,10.48,166.98494659992866,5284541440,5723127808
39,0.25,1.6912561347961426,1.4402599502563476,39.24,12.53,166.6052759999875,5284541440,5723127808
40,0.25,1.7059311851119996,1.3285204929351806,36.33,11.77,159.1323489000788,5284541440,5723127808
41,0.25,1.667627899246216,1.323067448425293,36.7,10.61,159.11100210004952,5284541440,5723127808
42,0.25,1.6861885415649414,1.3122179540634156,36.12,10.3,158.8403083999874,5284541440,5723127808
43,0.25,1.659663264350891,1.2324809204101563,34.65,9.87,158.83796699997038,5284541440,5723127808
44,0.25,1.6338076010131837,1.3323260776519776,36.45,11.07,158.77058940008283,5284541440,5723127808
45,0.25,1.622573748855591,1.260415078353882,34.46,10.35,158.70919900003355,5284541440,5723127808
46,0.25,1.6250211837387085,1.220811067199707,33.93,9.92,158.76314970001113,5284541440,5723127808
47,0.25,1.6524968885040283,1.4212431755065917,39.08,11.49,158.80794259998947,5284541440,5723127808
48,0.25,1.6164540147018434,1.3860228910446166,37.26,12.09,158.73043650004547,5284541440,5723127808
49,0.25,1.6295882383728026,1.3083497645378113,35.24,10.98,158.95471110008657,5284541440,5723127808
50,0.25,1.6547409630584717,1.2428885698318481,34.3,10.37,158.74562369997147,5284541440,5723127808
51,0.25,1.6123780773544312,1.2325548194885254,33.91,9.54,158.81725399999414,5284541440,5723127808
52,0.25,1.6913489944076538,1.1900709159851075,32.76,9.09,158.751330900006,5284541440,5723127808
53,0.25,1.6895911023330688,1.2390809922218322,34.05,9.86,158.836208099965,5284541440,5723127808
54,0.25,1.6423456330490112,1.2775324909210206,35.56,10.09,158.8866229999112,5284541440,5723127808
55,0.25,1.663622483253479,1.2714835456848144,34.67,10.03,158.8081701999763,5284541440,5723127808
56,0.25,1.631972971343994,1.2806411361694336,35.17,9.95,158.92860199999996,5284541440,5723127808
57,0.25,1.6017411115646363,1.2961377311706543,34.83,10.48,158.82003449997865,5284541440,5723127808
58,0.25,1.657733738899231,1.2116824115753173,33.49,10.17,158.89513859990984,5284541440,5723127808
59,0.25,1.583547020111084,1.2545229840278624,35.42,9.69,158.77012599993031,5284541440,5723127808
60,0.25,1.6455992122650147,1.2459844928741455,34.14,10.11,158.78701739991084,5284541440,5723127808
61,0.25,1.5673175240325927,1.1684872121810914,32.2,8.72,165.56009939999785,5284541440,5723127808
62,0.25,1.6172148986434935,1.3704933155059815,35.9,11.46,168.09682720003184,5284541440,5723127808
63,0.25,1.6776684460830689,1.3626382457733155,36.73,10.9,166.63204500009306,5284541440,5723127808
64,0.25,1.6278447636032105,1.4737267810821533,39.54,12.71,162.13212650001515,5284541440,5723127808
65,0.25,1.6397478169250488,1.2695122362136841,34.76,10.1,163.30599439993966,5284541440,5723127808
66,0.25,1.6179317679977416,1.5197296966552734,40.52,13.02,163.49055480002426,5284541440,5723127808
67,0.25,1.63203990524292,1.351393497467041,37.08,11.89,161.7138453000225,5284541440,5723127808
68,0.25,1.622278825416565,1.6692580993652344,41.84,16.2,165.54880880005658,5284541440,5723127808
69,0.25,1.6092619548797606,1.2519006996154785,35.04,9.76,162.48467709997203,5284541440,5723127808
70,0.25,1.6214853768920898,1.2552035049438477,34.62,9.78,156.2212496000575,5284541440,5723127808
71,0.25,1.611151121749878,1.1964797290802003,33.34,9.52,155.88371590001043,5284541440,5723127808
72,0.25,1.6185923659133912,1.4557627151489259,39.52,12.37,155.73245889996178,5284541440,5723127808
73,0.25,1.6600545152282715,1.3931775424957276,37.14,11.44,155.8149710999569,5284541440,5723127808
74,0.25,1.6169605443382262,1.1516022605895997,31.91,8.8,155.78382430004422,5284541440,5723127808
75,0.25,1.5955935494995117,1.3969236104011535,36.66,11.7,155.73765610007104,5284541440,5723127808
76,0.25,1.5929658920669556,1.358373152923584,36.17,11.7,155.6537193999393,5284541440,5723127808
77,0.25,1.6215918170166015,1.2222581520080567,33.57,9.87,155.7889224999817,5284541440,5723127808
78,0.25,1.6039120467376708,1.171452657699585,32.9,8.95,155.8476715000579,5284541440,5723127808
79,0.25,1.634036214866638,1.2279236558914184,34.02,9.27,155.89313470001798,5284541440,5723127808
80,0.25,1.60151329788208,1.2937391038894652,35.82,10.76,155.71321489999536,5284541440,5723127808
81,0.25,1.6021122910308838,1.5042752681732179,38.56,12.56,155.7716277000727,5284541440,5723127808
82,0.25,1.6453358720397948,1.1876893989562989,32.84,9.63,155.8654740001075,5284541440,5723127808
83,0.25,1.5786102171325684,1.241844284439087,34.84,9.83,155.84378150000703,5284541440,5723127808
84,0.25,1.5995049704360962,1.62617669506073,40.56,13.69,155.88948490004987,5284541440,5723127808
85,0.25,1.623135460243225,1.3950060049057007,37.53,11.31,155.88403850002214,5284541440,5723127808
86,0.25,1.5748301748275757,1.3580796604156493,36.67,11.28,155.84309920005035,5284541440,5723127808
87,0.25,1.5947391162872315,1.4791028701782227,38.33,10.73,155.76465299993288,5284541440,5723127808
88,0.25,1.6206605946350097,1.635732455444336,42.57,15.37,155.82970879995264,5284541440,5723127808
89,0.25,1.5742841024780274,1.286868627357483,34.5,10.74,155.75661660009064,5284541440,5723127808
90,0.25,1.606867491760254,1.3035226957321167,36.01,10.92,155.84207440004684,5284541440,5723127808
91,0.25,1.575048836479187,1.171769656562805,32.29,8.79,155.7924714999972,5284541440,5723127808
92,0.25,1.5793648866653442,1.2869732466697692,35.83,11.2,155.84227129991632,5284541440,5723127808
93,0.25,1.5724391020202637,1.1970984603881836,32.94,9.57,155.71064079995267,5284541440,5723127808
94,0.25,1.5566075221252442,1.3014637683868409,36.11,10.38,155.83987679996062,5284541440,5723127808
95,0.25,1.5958166604995727,1.2489183095932006,34.52,9.94,155.82057699991856,5284541440,5723127808
96,0.25,1.6205181980514527,1.5221981956481934,40.47,12.77,155.89886170008685,5284541440,5723127808
97,0.25,1.5800367862319946,1.1612598955154418,32.17,9.05,155.77547839994077,5284541440,5723127808
98,0.25,1.6041320762634277,1.354142996788025,36.53,11.17,155.8583552999189,5284541440,5723127808
99,0.25,1.6487972328948974,1.4100813758850097,37.97,12.81,155.81192279991228,5284541440,5723127808
100,0.25,1.6118841577148437,1.233598942565918,33.52,10.0,155.76166509999894,5284541440,5723127808
101,0.25,1.5959984048843383,1.3821648303985596,37.34,11.94,155.83770449995063,5284541440,5723127808
102,0.25,1.6153758780288696,1.1817196062088013,32.3,9.11,155.77460910007358,5284541440,5723127808
103,0.25,1.5997529041290284,1.2846001348495484,34.77,10.61,155.81607890001033,5284541440,5723127808
104,0.25,1.529868034133911,1.223078252029419,33.51,9.47,155.84166629996616,5284541440,5723127808
105,0.25,1.5587230123519897,1.1543731105804442,32.46,8.37,156.1017172000138,5284541440,5723127808
106,0.25,1.556832639770508,1.1839090272903443,33.22,8.52,155.81311039999127,5284541440,5723127808
107,0.25,1.5636502389526368,1.2308261054992675,33.98,9.39,155.87898339994717,5284541440,5723127808
108,0.25,1.6377546170425414,1.2526069797515869,34.75,9.89,155.8916165000992,5284541440,5723127808
109,0.25,1.5699575679779052,1.3113252588272095,35.83,10.84,155.76110099989455,5284541440,5723127808
110,0.25,1.6521854319763183,1.2111332248687745,33.68,9.54,155.87708589993417,5284541440,5723127808
111,0.25,1.572994002456665,1.1646967027664186,32.42,8.64,155.79090300004464,5284541440,5723127808
112,0.25,1.5766421826553345,1.2978390357971192,35.27,10.5,155.8625247000018,5284541440,5723127808
113,0.25,1.6155323986816406,1.3067493160247803,35.91,11.33,155.82796569995116,5284541440,5723127808
114,0.25,1.5218667052078247,1.2477706939697266,34.1,9.96,155.85474420001265,5284541440,5723127808
115,0.25,1.5642295680236817,1.3104249668121337,34.65,10.74,155.92781289992854,5284541440,5723127808
116,0.25,1.5753335347366333,1.2714590583801268,35.05,10.25,155.94023269996978,5284541440,5723127808
117,0.25,1.5985181344985961,1.4119315288543701,37.66,11.7,155.826772899949,5284541440,5723127808
118,0.25,1.5385294130706788,1.2283676969528199,34.12,9.83,156.1936013000086,5284541440,5723127808
119,0.25,1.617812928314209,1.3592907737731934,37.01,11.58,155.94757730001584,5284541440,5723127808
120,0.25,1.5614094429397583,1.3108561887741088,35.82,10.61,155.7453035999788,5284541440,5723127808
121,0.25,1.571082004623413,1.4411774265289308,37.74,11.64,155.76824140001554,5284541440,5723127808
122,0.25,1.57798993434906,1.508265566635132,39.59,13.09,155.78199489996769,5284541440,5723127808
123,0.25,1.531239353981018,1.4830995113372802,38.86,12.76,155.74449129996356,5284541440,5723127808
124,0.25,1.6130376414871215,1.2958108345031738,35.44,10.85,155.794140300015,5284541440,5723127808
125,0.25,1.5827017526245117,1.44893603515625,38.05,12.93,155.8618879999267,5284541440,5723127808
126,0.25,1.5635304413223268,1.2810440906524658,35.49,10.21,159.74829170003068,5284541440,5723127808
