epoch,lr,train_loss,validation_loss,top1_error,top5_error,epoch_seconds,peak_allocated_bytes,peak_reserved_bytes
1,0.25,4.045287985229492,3.6366404983520506,86.36,62.43,326.4440256000962,5294511104,5697961984
2,0.25,3.1379296682739257,2.9086810928344726,71.67,40.96,152.16467990004458,5287777280,5706350592
3,0.25,2.3412130728149414,2.3969241874694824,62.16,28.52,152.39610050001647,5284852736,5706350592
4,0.25,1.9113084259033204,2.0291784934997557,53.22,22.25,152.46465320000425,5284852736,5706350592
5,0.25,1.6731936223602295,1.8943708213806152,50.77,18.78,152.4790187999606,5284852736,5706350592
6,0.25,1.5175152130889893,1.7780571113586425,47.97,18.7,152.40211599995382,5284852736,5706350592
7,0.25,1.4106441403198242,1.8112515251159669,47.94,17.86,152.42182439996395,5284852736,5706350592
8,0.25,1.3239211415100098,1.5108626342773437,41.82,13.32,152.43092970002908,5284852736,5706350592
9,0.25,1.2603715766906738,1.6244744728088378,42.9,14.28,152.4491863999283,5284852736,5706350592
10,0.25,1.2019677969360352,1.5862772583007811,43.67,15.1,152.44677929999307,5284852736,5706350592
11,0.25,1.1686940071105958,1.6158921119689942,41.63,14.61,152.4306624000892,5284852736,5706350592
12,0.25,1.1263437625885009,1.766949087715149,44.46,15.89,152.4539559999248,5284852736,5706350592
13,0.25,1.1030059241104126,1.5654458633422852,40.46,13.41,152.45386120001785,5284852736,5706350592
14,0.25,1.0666986581039428,1.3893230291366576,38.19,11.44,152.43855269998312,5284852736,5706350592
15,0.25,1.0452856098937988,1.542772707939148,40.78,12.71,152.41858060006052,5284852736,5706350592
16,0.25,1.0269493769073486,1.629744446182251,41.57,13.47,152.43731830001343,5284852736,5706350592
17,0.25,1.0147746681213379,1.4707960269927978,39.38,12.02,152.46833169995807,5284852736,5706350592
18,0.25,0.9846985127258301,1.388505996131897,37.33,11.12,152.45211670000572,5284852736,5706350592
19,0.25,0.9645061183929443,1.5694838750839233,40.29,13.63,152.44495299994014,5284852736,5706350592
20,0.25,0.9485774803161621,1.5268858894348145,40.85,12.09,152.3895341999596,5284852736,5706350592
21,0.25,0.9372936014175415,1.598735736846924,40.31,12.6,152.45477870001923,5284852736,5706350592
22,0.25,0.9228180296325683,1.3801826301574707,36.54,11.08,152.53330030001234,5284852736,5706350592
23,0.25,0.9200453769683838,1.4061935888290404,37.82,11.27,152.41424250009004,5284852736,5706350592
24,0.25,0.9032762004852295,1.506849320602417,38.41,12.3,152.37970900000073,5284852736,5706350592
25,0.25,0.8988461303710937,1.468440630722046,38.07,11.65,152.36274450004566,5284852736,5706350592
26,0.25,0.8840920226669311,1.3432002656936646,35.77,10.75,152.38921329996083,5284852736,5706350592
27,0.25,0.8679379531097412,1.422747975540161,37.44,11.37,152.45540860004257,5284852736,5706350592
