epoch,lr,train_loss,validation_loss,top1_error,top5_error,epoch_seconds,peak_allocated_bytes,peak_reserved_bytes
1,0.25,4.228250475921631,3.74966513671875,88.34,65.07,331.4908242999809,5290185728,5727322112
2,0.25,3.713412120361328,3.1758589553833008,76.97,48.08,155.48692399996798,5286015488,5723127808
3,0.25,3.1625461004638673,2.8451336486816405,69.93,37.06,156.0208667999832,5284541440,5723127808
4,0.25,2.810486324157715,2.371136476135254,61.08,27.62,156.20495409995783,5284541440,5723127808
5,0.25,2.5771112370300293,1.9802271682739259,53.15,21.9,155.94972909998614,5284541440,5723127808
6,0.25,2.3454971070861816,1.7778168937683105,48.21,17.78,156.06796149990987,5284541440,5723127808
7,0.25,2.2515822647094725,1.8001868774414063,48.25,18.06,155.9476421000436,5284541440,5723127808
8,0.25,2.1459293350219726,1.775027751159668,47.42,18.55,155.88790099998005,5284541440,5723127808
9,0.25,2.0849969734191895,1.5834446281433106,43.99,14.5,155.86966550000943,5284541440,5723127808
10,0.25,2.0416623151397704,1.5498986389160156,42.91,14.29,155.76541160000488,5284541440,5723127808
11,0.25,2.0009640282440184,1.476823913383484,41.13,13.32,155.8678783000214,5284541440,5723127808
12,0.25,1.9689762548828125,1.495291375541687,41.28,13.38,155.76759329997003,5284541440,5723127808
13,0.25,1.983355467376709,1.4895311006546021,41.51,13.09,155.80183510005008,5284541440,5723127808
14,0.25,1.9322721829223632,1.5372990167617797,41.23,14.05,155.75177570001688,5284541440,5723127808
15,0.25,1.9056912741851806,1.660757810974121,43.31,14.91,155.68351530004293,5284541440,5723127808
16,0.25,1.8463696311950684,1.4081735263824462,39.23,11.89,155.7795206999872,5284541440,5723127808
17,0.25,1.85780602684021,1.371302087020874,37.6,12.18,155.7899480999913,5284541440,5723127808
18,0.25,1.790356560974121,1.537678999710083,41.03,14.31,155.72841219999827,5284541440,5723127808
19,0.25,1.801942805633545,1.6205314567565918,42.09,16.16,155.74863059993368,5284541440,5723127808
20,0.25,1.845904369354248,1.4273703790664674,38.93,12.74,155.86406329995953,5284541440,5723127808
21,0.25,1.8106724927520752,1.5146304859161377,40.71,13.37,155.65655270009302,5284541440,5723127808
22,0.25,1.7812099607849121,1.210710587310791,34.54,9.13,155.76132310007233,5284541440,5723127808
23,0.25,1.7693885954284667,1.357070637512207,37.43,11.81,155.80311560002156,5284541440,5723127808
24,0.25,1.7480469049072265,1.4338798862457276,39.94,12.28,155.78268060006667,5284541440,5723127808
25,0.25,1.723134786529541,1.215351503944397,34.09,9.78,158.11330420000013,5284541440,5723127808
26,0.25,1.7332775993347167,1.3920815788269043,38.23,12.2,158.29772500006948,5284541440,5723127808
27,0.25,1.7244659400177003,1.3639320547103881,36.8,11.27,156.78672980004922,5284541440,5723127808
28,0.25,1.678888504333496,1.4457553897857667,38.72,11.63,161.47581179998815,5284541440,5723127808
29,0.25,1.6980082746505738,1.3078051609039307,35.91,10.34,162.10502540005837,5284541440,5723127808
30,0.25,1.676647620010376,1.2634406494140624,34.92,10.78,162.21686919999775,5284541440,5723127808
31,0.25,1.7272475395965576,1.3249557922363282,37.06,11.07,162.04124840011355,5284541440,5723127808
32,0.25,1.6977277727508544,1.2130502729415893,34.14,9.2,161.97571110003628,5284541440,5723127808
33,0.25,1.670914353942871,1.3124235395431518,36.42,10.37,161.53248299995903,5284541440,5723127808
34,0.25,1.6730104595184325,1.3680812704086305,37.8,10.99,161.36980599991512,5284541440,5723127808
35,0.25,1.694269315032959,1.4782149688720703,38.61,12.43,158.6110864999937,5284541440,5723127808
36,0.25,1.6260809186935425,1.381940428161621,37.73,11.2,157.40457880008034,5284541440,5723127808
37,0.25,1.6612047679138184,1.1669693134307861,32.98,8.98,159.38830410002265,5284541440,5723127808
38,0.25,1.6188846296310424,1.259406686592102,34.93,9.48,157.26255300000776,5284541440,5723127808
39,0.25,1.665094557685852,1.3405210306167603,36.33,10.43,158.53695810004137,5284541440,5723127808
40,0.25,1.6356629931640625,1.2678386653900147,35.51,9.92,163.52015989995562,5284541440,5723127808
41,0.25,1.595291297416687,1.2629523473739623,34.52,10.46,162.2229143999284,5284541440,5723127808
42,0.25,1.6203704071044922,1.2657413314819337,35.39,10.34,161.34629190003034,5284541440,5723127808
43,0.25,1.6583549750518798,1.3235705699920655,36.23,10.96,161.01952600001823,5284541440,5723127808
44,0.25,1.6438845815277099,1.24980094871521,34.46,10.28,155.56921979994513,5284541440,5723127808
45,0.25,1.6655624089050294,1.0764814952850341,30.57,7.89,155.49799740000162,5284541440,5723127808
46,0.25,1.639505910987854,1.3549888843536377,37.39,10.98,155.54611420002766,5284541440,5723127808
47,0.25,1.627870167579651,1.438386939239502,38.52,11.9,155.6724555999972,5284541440,5723127808
48,0.25,1.5898883989715575,1.2487780067443848,35.3,9.64,155.63940929993987,5284541440,5723127808
49,0.25,1.6247483311462403,1.319121248626709,36.23,10.51,155.41301230003592,5284541440,5723127808
50,0.25,1.5677540939712524,1.3929362434387207,37.46,11.43,155.5203843000345,5284541440,5723127808
51,0.25,1.6428657373809814,1.4062183708190918,37.55,12.25,155.53794750000816,5284541440,5723127808
52,0.25,1.5803884007644653,1.3619628589630126,36.13,11.6,155.49528969998937,5284541440,5723127808
53,0.25,1.5945696786499024,1.3114792457580566,36.38,10.95,155.5733176000649,5284541440,5723127808
54,0.25,1.6048801234436034,1.3532143747329712,36.91,11.45,155.37506039999425,5284541440,5723127808
55,0.25,1.5575062168502807,1.5877959047317505,41.32,12.41,155.46613680000883,5284541440,5723127808
56,0.25,1.6077843952178954,1.2363282278060914,33.94,10.1,155.58733030001167,5284541440,5723127808
57,0.25,1.6056498042297362,1.2600816444396972,34.8,9.37,155.54188090004027,5284541440,5723127808
58,0.25,1.6457586126708985,1.2276496780395507,33.61,9.75,155.58042190002743,5284541440,5723127808
59,0.25,1.5486907662963867,1.2399076274871825,34.16,9.97,155.58064790000208,5284541440,5723127808
60,0.25,1.5856727340698242,1.2914926185607911,35.78,10.64,155.8073061000323,5284541440,5723127808
61,0.25,1.6300563074111938,1.3137061979293823,36.53,10.6,155.4967002000194,5284541440,5723127808
62,0.25,1.639604952468872,1.2737572399139405,35.23,9.88,155.62567259999923,5284541440,5723127808
63,0.25,1.597789003791809,1.2904426319122315,35.2,11.02,155.46544599998742,5284541440,5723127808
64,0.25,1.5932317398452758,1.1744363975524903,32.8,8.6,155.4964006000664,5284541440,5723127808
65,0.25,1.6042275844573974,1.1867009845733643,33.18,8.88,155.61167100002058,5284541440,5723127808
66,0.25,1.582941990814209,1.220504373550415,33.7,9.41,155.63465030002408,5284541440,5723127808
67,0.25,1.5824614740371703,1.423516736793518,38.59,13.06,159.76050750003196,5284541440,5723127808
68,0.25,1.638568088607788,1.285789587020874,34.73,10.6,164.39097079995554,5284541440,5723127808
69,0.25,1.5869662661361694,1.2671947412490845,34.71,10.07,160.74121280002873,5284541440,5723127808
70,0.25,1.5427048763275146,1.3552633033752441,35.91,11.07,162.2597744000377,5284541440,5723127808
71,0.25,1.5484016807174683,1.1682219781875611,32.44,9.33,159.06873639998958,5284541440,5723127808
72,0.25,1.605254912033081,1.2641009444236755,34.47,9.99,160.33117349992972,5284541440,5723127808
73,0.25,1.58916358669281,1.260790926551819,35.19,9.9,156.6666393999476,5284541440,5723127808
74,0.25,1.5874798208618164,1.1797142881393432,33.06,8.9,157.1671746999491,5284541440,5723127808
75,0.25,1.5609128981399536,1.3170530391693116,35.72,10.63,154.84961230005138,5284541440,5723127808
76,0.25,1.5415727095794678,1.2739928663253783,35.69,10.1,154.92499850003514,5284541440,5723127808
77,0.25,1.5497228018951417,1.3041716215133667,35.71,10.14,154.84026679990347,5284541440,5723127808
78,0.25,1.5871200128936767,1.269364281463623,34.81,10.16,154.91014010005165,5284541440,5723127808
79,0.25,1.5932938920211792,1.1801884107589722,33.17,9.4,154.9734045000514,5284541440,5723127808
80,0.25,1.5518650156402587,1.268345118522644,34.78,10.27,154.9765827000374,5284541440,5723127808
81,0.25,1.5752655432128906,1.1902385265350341,33.06,9.56,154.75255670002662,5284541440,5723127808
82,0.25,1.579633755569458,1.3496969213485719,36.5,12.16,154.92457580007613,5284541440,5723127808
83,0.25,1.5163610472488402,1.1961112581253053,33.51,9.18,154.91088819992729,5284541440,5723127808
84,0.25,1.5820822175979614,1.1923557247161864,33.12,9.52,154.9198114000028,5284541440,5723127808
85,0.25,1.5892754666900635,1.4387867910385133,38.57,13.07,154.9561349999858,5284541440,5723127808
86,0.25,1.5404605936813354,1.202552268409729,32.96,9.41,154.80841150006745,5284541440,5723127808
87,0.25,1.5764303575897216,1.2789840753555297,34.68,10.47,154.89972500002477,5284541440,5723127808
88,0.25,1.5468868530654907,1.2492540376663208,34.73,9.83,155.01562209997792,5284541440,5723127808
89,0.25,1.5532510693359376,1.2030286655426026,33.55,9.21,154.8677867000224,5284541440,5723127808
90,0.25,1.652998173980713,1.075212295627594,30.29,8.11,154.89646099996753,5284541440,5723127808
91,0.25,1.587517684135437,1.3682841358184814,36.57,10.72,154.90521840006113,5284541440,5723127808
92,0.25,1.5761635246276855,1.120025705242157,31.44,8.28,154.9288948000176,5284541440,5723127808
93,0.25,1.5970751042556763,1.289280263710022,35.08,9.65,155.18754509999417,5284541440,5723127808
94,0.25,1.4970027672195434,1.2866660749435426,35.15,10.55,154.8149199000327,5284541440,5723127808
95,0.25,1.6212231979370118,1.2350167419433593,34.2,10.12,154.92835359997116,5284541440,5723127808
96,0.25,1.5860392513275146,1.2791823558807374,34.93,10.41,154.90188489994034,5284541440,5723127808
97,0.25,1.5504384387969972,1.537275087738037,39.66,13.82,154.68649880005978,5284541440,5723127808
98,0.25,1.561225326690674,1.2437469219207764,34.1,10.15,154.82104559999425,5284541440,5723127808
99,0.25,1.60168949508667,1.1681786436080932,32.35,9.14,154.7975471999962,5284541440,5723127808
100,0.25,1.5815245526885986,1.1615667713165283,32.63,8.98,154.77119660004973,5284541440,5723127808
101,0.25,1.5607760664749146,1.2393273872375488,34.44,9.52,154.73886310006492,5284541440,5723127808
102,0.25,1.5957438076019288,1.4153831186294556,37.54,11.15,154.74628249998204,5284541440,5723127808
103,0.25,1.5263455734252929,1.1882692922592164,32.88,9.22,154.80474890000187,5284541440,5723127808
104,0.25,1.5953362684631347,1.231401417350769,34.04,9.7,154.74082100007217,5284541440,5723127808
105,0.25,1.5338694036102294,1.1652111110687255,32.44,9.18,154.74339039996266,5284541440,5723127808
106,0.25,1.5563941513824462,1.1957763298034667,33.4,9.33,154.8940071000252,5284541440,5723127808
107,0.25,1.5823489418411254,1.2917342044830322,34.8,10.04,154.78494990000036,5284541440,5723127808
108,0.25,1.5596756242752075,1.1887403261184692,33.05,9.23,154.70949129993096,5284541440,5723127808
109,0.25,1.5875903148651123,1.232160297870636,34.16,9.89,155.19302909995895,5284541440,5723127808
110,0.25,1.5449527512741088,1.1524242906570434,32.17,8.61,154.8648969999049,5284541440,5723127808
111,0.25,1.5838091607284546,1.2542981073379516,34.12,9.72,154.84243079996668,5284541440,5723127808
112,0.25,1.5523860260009765,1.3954990058898926,37.57,11.46,155.07720589998644,5284541440,5723127808
113,0.25,1.5566350611114501,1.2617916547775267,34.39,9.21,155.07890800002497,5284541440,5723127808
114,0.25,1.5221395094680785,1.201545948791504,33.55,9.46,155.0742807999486,5284541440,5723127808
115,0.25,1.6049974757766723,1.2935193729400636,35.06,9.97,155.04351069999393,5284541440,5723127808
116,0.25,1.548982575340271,1.270444733428955,35.27,9.89,155.13939249992836,5284541440,5723127808
117,0.25,1.5333410739517213,1.22023497505188,34.02,9.84,154.96748089999892,5284541440,5723127808
118,0.25,1.5768099857711793,1.1306954431533813,31.75,8.33,154.92152219999116,5284541440,5723127808
119,0.25,1.5452779402160643,1.6387695957183839,41.03,13.93,156.47799019992817,5284541440,5723127808
120,0.25,1.5734475985336305,1.246169753074646,33.95,10.66,154.99423810001463,5284541440,5723127808
121,0.25,1.5774946096420288,1.3368205919265748,35.12,10.38,155.02100930002052,5284541440,5723127808
122,0.25,1.5573288499832154,1.4850091007232666,39.83,12.37,155.02952630002983,5284541440,5723127808
123,0.25,1.5650174626159667,1.2759520832061768,34.35,10.27,155.06281770009082,5284541440,5723127808
124,0.25,1.5082009998703003,1.3250510013580323,35.6,10.7,155.03141449997202,5284541440,5723127808
125,0.25,1.5773495766067505,1.1803661128997802,33.18,8.67,155.04722100007348,5284541440,5723127808
126,0.25,1.5366425162887574,1.2407062728881837,33.57,9.53,155.05120489990804,5284541440,5723127808
127,0.25,1.5188150275802612,1.4971799425125123,39.88,12.72,155.1600229999749,5284541440,5723127808
128,0.25,1.4714969146728516,1.194721424293518,32.83,9.99,155.0816718999995,5284541440,5723127808
129,0.25,1.5315151511001588,1.1840855739593505,32.5,8.89,154.9891922000097,5284541440,5723127808
130,0.25,1.5386245971870423,1.2803403846740722,34.71,10.27,155.01718840003014,5284541440,5723127808
131,0.25,1.5859299409484864,1.2875804197311402,35.21,10.36,154.71687769994605,5284541440,5723127808
132,0.25,1.5381627389526367,1.2751201567649841,34.53,11.01,154.75075200002175,5284541440,5723127808
133,0.25,1.5606004486083984,1.3705721282958985,37.0,11.58,154.8971595999319,5284541440,5723127808
134,0.25,1.5364825751876832,1.2276356712341308,34.37,8.96,154.7736190999858,5284541440,5723127808
135,0.25,1.622277279510498,1.324030206298828,35.04,10.51,154.73647540004458,5284541440,5723127808
136,0.25,1.5831521111297608,1.3091837285995482,35.94,10.13,154.85906619997695,5284541440,5723127808
137,0.25,1.554661340522766,1.2358634355545044,33.4,9.56,154.72051349992398,5284541440,5723127808
138,0.25,1.55734506816864,1.2605510635375976,33.92,10.06,154.80689120001625,5284541440,5723127808
139,0.25,1.5776599312210082,1.392783059692383,37.45,11.11,154.76946410001256,5284541440,5723127808
140,0.25,1.5680586636352538,1.393402152633667,37.3,10.94,154.8704665999394,5284541440,5723127808
141,0.25,1.527453759841919,1.3525612382888794,36.46,11.21,154.82633289997466,5284541440,5723127808
142,0.25,1.5342480090332031,1.638548210144043,41.34,12.96,154.8024296000367,5284541440,5723127808
143,0.25,1.5780115995407105,1.201612843132019,33.36,9.41,154.75612979999278,5284541440,5723127808
144,0.25,1.5195640714263916,1.343245923423767,35.14,10.85,154.71230439993087,5284541440,5723127808
145,0.25,1.5526126971817016,1.223217389678955,33.52,9.6,154.77632870001253,5284541440,5723127808
146,0.25,1.5514620658111573,1.2031905822753906,32.44,9.24,154.85061930003576,5284541440,5723127808
147,0.25,1.5352166926193238,1.2959351146697997,35.47,10.34,154.79815039993264,5284541440,5723127808
148,0.25,1.5400331786346435,1.3890532833099365,36.29,11.36,154.71542130003218,5284541440,5723127808
149,0.25,1.5711141034698486,1.226913282585144,33.85,9.41,154.7849296000786,5284541440,5723127808
150,0.25,1.5142106901931762,1.1264479292869567,32.28,8.47,154.7364628999494,5284541440,5723127808
151,0.025,1.123843121585846,0.6079279584884644,17.85,3.21,154.78148350003175,5284541440,5723127808
152,0.025,1.0547223648834227,0.5720768892288208,16.9,2.89,157.34017350000795,5284541440,5723127808
153,0.025,0.9772809875488281,0.5781280024528503,17.02,3.02,162.44094859994948,5284541440,5723127808
154,0.025,0.9115847854852677,0.572456110572815,16.85,2.93,163.6302141000051,5284541440,5723127808
155,0.025,0.9383189938354493,0.5784828993797302,16.64,2.91,163.68547430005856,5284541440,5723127808
156,0.025,0.9040290005350113,0.5810373858451843,16.82,3.11,162.58954990003258,5284541440,5723127808
157,0.025,0.8796703557658195,0.5710077213287353,16.99,2.88,157.55231349996757,5284541440,5723127808
158,0.025,0.8357929007816315,0.5700963688850402,16.51,3.0,157.21979889995418,5284541440,5723127808
159,0.025,0.8042173781871795,0.5908464363098145,17.28,3.02,157.30172390001826,5284541440,5723127808
160,0.025,0.8285484779214859,0.591561483669281,17.02,3.12,156.83296040003188,5284541440,5723127808
161,0.025,0.8276094872069358,0.5937835458755493,16.81,2.96,156.91012979997322,5284541440,5723127808
162,0.025,0.8105736333799363,0.5886743181228637,16.45,3.06,156.8845752000343,5284541440,5723127808
163,0.025,0.8443322332835197,0.582866602897644,16.47,3.02,156.80781090003438,5284541440,5723127808
164,0.025,0.7970728289723397,0.6032631638526916,17.31,3.14,156.86268299992662,5284541440,5723127808
165,0.025,0.7965005100107193,0.5917715505599975,16.7,3.13,156.93931100005284,5284541440,5723127808
166,0.025,0.8080721803951263,0.6090129935264588,17.17,3.26,156.91056049999315,5284541440,5723127808
167,0.025,0.7498664793419838,0.6247551347732544,17.39,3.34,156.92965950001962,5284541440,5723127808
168,0.025,0.7783805869174003,0.619179610824585,17.54,3.46,156.9266494999174,5284541440,5723127808
169,0.025,0.8310374766874313,0.6172267603874206,17.42,3.18,156.91680620005354,5284541440,5723127808
170,0.025,0.8051374962472916,0.6294475938796997,17.6,3.42,156.9502942999825,5284541440,5723127808
171,0.025,0.7627500894141197,0.6245369985580445,17.39,3.3,156.87225499993656,5284541440,5723127808
