epoch,lr,train_loss,validation_loss,top1_error,top5_error,epoch_seconds,peak_allocated_bytes,peak_reserved_bytes
1,0.25,4.283968150329589,3.7886782958984373,89.38,66.96,326.3117783999769,5291787776,5687476224
2,0.25,3.717870115661621,3.222461703491211,78.55,49.13,153.77637859992683,5285502976,5695864832
3,0.25,3.190248331451416,2.6066285903930666,68.04,34.17,154.27023789996747,5283063296,5695864832
4,0.25,2.7682894091796877,2.4109206909179686,62.55,30.79,154.25432399997953,5283063296,5695864832
5,0.25,2.5779643865966797,2.0183950160980224,53.97,22.78,154.3174061999889,5283063296,5695864832
6,0.25,2.3950274406433105,1.9759897399902344,52.45,21.06,154.2229274000274,5283063296,5695864832
7,0.25,2.2687975608062745,1.9733544761657715,52.05,21.19,154.22787209996022,5283063296,5695864832
8,0.25,2.1808112783813476,1.662819450378418,45.17,16.18,154.42783180007245,5283063296,5695864832
9,0.25,2.0980251170349122,1.609098264312744,43.89,14.82,154.18540409998968,5283063296,5695864832
10,0.25,2.007748080368042,1.71277459564209,46.82,16.58,154.16482710000128,5283063296,5695864832
11,0.25,2.0391937128448485,1.6747614517211915,44.75,16.54,154.22687729995232,5283063296,5695864832
12,0.25,1.99692528755188,1.508074319076538,41.63,13.6,154.19602999999188,5283063296,5695864832
13,0.25,1.964062484741211,1.5456555953979492,42.2,14.39,154.46779110003263,5283063296,5695864832
14,0.25,1.906903497467041,1.5739926782608031,42.57,14.74,154.1030573999742,5283063296,5695864832
15,0.25,1.8875169314575195,1.6736856559753417,44.15,16.68,154.14633800007869,5283063296,5695864832
16,0.25,1.8312578143310547,1.4025386539459228,39.18,11.66,154.16865599993616,5283063296,5695864832
17,0.25,1.8291888414001465,1.4218685222625733,38.88,12.42,154.1335688000545,5283063296,5695864832
18,0.25,1.8437347063446046,1.4014914247512817,37.7,11.89,154.14121480006725,5283063296,5695864832
19,0.25,1.8652381957244872,1.3624161575317384,37.65,11.22,154.2159454000648,5283063296,5695864832
20,0.25,1.7585985415649414,1.5009061279296876,40.87,13.06,154.113057199982,5283063296,5695864832
21,0.25,1.8288314962768555,1.4067686372756958,38.75,12.45,154.277146599954,5283063296,5695864832
22,0.25,1.7892746252822875,1.5382799530029296,40.28,13.68,154.35547179996502,5283063296,5695864832
23,0.25,1.7586112242507934,1.3999200126647948,38.69,11.81,154.1370660000248,5283063296,5695864832
24,0.25,1.7582224588012696,1.4425550859451295,39.78,12.05,154.28138699999545,5283063296,5695864832
25,0.25,1.704216189956665,1.3959100238800048,37.95,11.55,154.19535329996143,5283063296,5695864832
26,0.25,1.7641223046875,1.2855859704971313,35.87,10.23,154.21430840005632,5283063296,5695864832
27,0.25,1.7411666104125976,1.4674766872406007,39.98,12.47,154.33886789996177,5283063296,5695864832
28,0.25,1.7093473371124268,1.2898507734298705,36.3,10.1,154.26854429999366,5283063296,5695864832
29,0.25,1.735597018661499,1.2851569982528686,35.0,11.13,154.61374140006956,5283063296,5695864832
30,0.25,1.7060099850082397,1.3640012926101686,37.43,11.73,154.4411658999743,5283063296,5695864832
31,0.25,1.7306504633331299,1.4001383405685426,37.87,12.17,154.58897299994715,5283063296,5695864832
32,0.25,1.7490836419677733,1.3535622467041015,37.11,11.41,154.53763630008325,5283063296,5695864832
33,0.25,1.7075323754882812,1.3261238801956177,36.08,10.94,154.2714549000375,5283063296,5695864832
34,0.25,1.695621843070984,1.2357147895812988,34.62,10.05,154.21256580005866,5283063296,5695864832
35,0.25,1.6867592618370055,1.3135386419296264,36.51,10.72,154.24430590006523,5283063296,5695864832
36,0.25,1.7194518676376342,1.2778603105545043,35.76,10.67,154.14535030000843,5283063296,5695864832
37,0.25,1.713817078475952,1.2816482343673705,35.53,10.35,154.22601810004562,5283063296,5695864832
38,0.25,1.6601965840148927,1.2826373867034913,36.0,10.24,154.09954890003428,5283063296,5695864832
39,0.25,1.7209566498565674,1.411330818939209,38.14,11.96,154.13180930004455,5283063296,5695864832
